UID          PID    PPID  C STIME TTY          TIME CMD
altunis+    2605    2415  0 19:26 ?        00:00:00 /usr/libexec/goa-daemon
altunis+    2621    2415  3 19:26 ?        00:00:20 /usr/bin/gnome-shell
altunis+    2623    2575  0 19:26 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
altunis+    2627    2415  0 19:26 ?        00:00:00 /usr/libexec/goa-identity-service
altunis+    2629    2415  0 19:26 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
altunis+    2637    2623  0 19:26 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
altunis+    2662    2415  0 19:26 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
altunis+    2668    2415  0 19:26 ?        00:00:00 /usr/libexec/evolution-source-registry
altunis+    2676    2415  0 19:26 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
altunis+    2680    2415  0 19:26 ?        00:00:00 /usr/libexec/evolution-calendar-factory
altunis+    2712    2415  0 19:26 ?        00:00:00 /usr/libexec/dconf-service
altunis+    2723    2415  0 19:26 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
altunis+    2760    2676  0 19:26 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
altunis+    2767    2415  0 19:26 ?        00:00:00 /usr/libexec/xdg-desktop-portal
altunis+    2772    2415  0 19:26 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
altunis+    2780    2438  0 19:26 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
altunis+    2793    2415  0 19:26 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
altunis+    2795    2415  0 19:26 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
altunis+    2804    2415  0 19:26 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
altunis+    2805    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-a11y-settings
altunis+    2808    2804  0 19:26 ?        00:00:01 /usr/bin/ibus-daemon --panel disable
altunis+    2810    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-color
altunis+    2811    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-datetime
altunis+    2812    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-housekeeping
altunis+    2816    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-keyboard
altunis+    2817    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-media-keys
altunis+    2818    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-power
altunis+    2819    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-print-notifications
altunis+    2822    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-rfkill
altunis+    2823    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
altunis+    2825    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-sharing
altunis+    2831    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-smartcard
altunis+    2837    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-sound
altunis+    2845    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-wacom
altunis+    2851    2575  0 19:26 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
altunis+    2863    2575  0 19:26 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
altunis+    2881    2808  0 19:26 ?        00:00:00 /usr/libexec/ibus-memconf
altunis+    2882    2808  0 19:26 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
altunis+    2889    2415  0 19:26 ?        00:00:00 /usr/libexec/ibus-portal
altunis+    2922    2415  0 19:26 ?        00:00:00 /usr/libexec/gsd-printer
altunis+    2963    2808  0 19:26 ?        00:00:00 /usr/libexec/ibus-engine-simple
altunis+    2978    2415  0 19:26 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
altunis+    3007    2415  0 19:26 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
altunis+    3024    2621  0 19:26 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:74:0:0
altunis+    3051    2415  0 19:26 ?        00:00:00 /usr/libexec/gvfsd-metadata
altunis+    3078    2415  0 19:26 ?        00:00:02 /usr/libexec/gnome-terminal-server
altunis+    3097    3078  0 19:26 pts/0    00:00:00 bash
root        3125    3097  0 19:26 pts/0    00:00:00 su -
root        3126    3125  0 19:26 pts/0    00:00:00 -bash
altunis+    3168    2575  0 19:27 ?        00:00:00 update-notifier
root        3995       2  0 19:33 ?        00:00:00 [kworker/u2:1-events_unbound]
root        4514    3126  0 19:35 pts/0    00:00:00 ps -ef
